"nome","resumo","coordenador"
"UMA CARACTERIZAÇÃO DA MATEMÁTICA A ENSINAR E PARA ENSINAR FRAÇÃO EM DIFERENTES VAGAS PEDAGÓGICAS","Em breve este conteúdo estará disponível.","Denise Medina De Almeida França "
"PRÁTICAS E GESTÃO DAS LICENCIATURAS","Em breve este conteúdo estará disponível.","Diana Da Veiga Mandelert "
"PARTICIPAÇÃO E GESTÃO ACADÊMICA NA COORDENAÇÃO DE GRADUAÇÃO","Em breve este conteúdo estará disponível.","Diana Gomes Da Silva Cerdeira "
"EDUCAÇÃO EM TEMPOS DE CIBERCULTURA: APRENDER-ENSINAR EM/NA REDE","Em breve este conteúdo estará disponível.","Dilton Ribeiro Do Couto Junior "
"FILOSOFIA POLÍTICA E EDUCAÇÃO","Em breve este conteúdo estará disponível.","Diogo Barros Bogéa "
"EDUCAÇÃO AMBIENTAL EM TRILHAS INTERPRETATIVAS: ENSINANDO APRENDENDO E INTEGRANDO AS ESCOLAS ÀS UC.","Em breve este conteúdo estará disponível.","Douglas De Souza Pimentel "
"A ARTICULAÇÃO ENSINO PESQUISA E EXTENSÃO NA FORMAÇÃO DE PROFESSORES DE UMA PERIFERIA URBANA","Em breve este conteúdo estará disponível.","Elaine Ferreira Rezende De Oliveira "
"PRÁTICAS COLABORATIVAS PARA A INCLUSÃO: FEBF EM AÇÃO","Em breve este conteúdo estará disponível.","Elaine Silva Mateus "
"CARTOGRAFIA DA DIVERSIDADE PARA A POPULAÇÃO AFRO-BRASILEIRA NO RIO DE JANEIRO.","Em breve este conteúdo estará disponível.","Elielma Ayres-Machado "
"SUBJETIVIDADE E POLÍTICA NO CAMPO DA INFÂNCIA E DA JUVENTUDE","Em breve este conteúdo estará disponível.","Estela Scheinvar "
"COMPARTILHANDO SABERES MATEMÁTICOS DO ENSINO","Em breve este conteúdo estará disponível.","Fabio Menezes Da Silva "
"DOCÊNCIA EM MATEMÁTICA RECREATIVA NO ENSINO BÁSICO","Em breve este conteúdo estará disponível.","Fabio Silva De Souza "
"A FORMAÇÃO INICIAL DE PROFESSORES E A VALORIZAÇÃO DA EDUCAÇÃO E DA CULTURA INDÍGENA","Em breve este conteúdo estará disponível.","Flávia Alves De Sousa "
"PARES LEITORES","Em breve este conteúdo estará disponível.","Flavia Maria De Menezes "
"RELAÇÕES ENTRE ESCOLA UNIVERSIDADE E MOVIMENTO SOCIAL PARA A EDUCAÇÃO EM CIÊNCIAS SAÚDE E AMBIENTE","Em breve este conteúdo estará disponível.","Francine Lopes Pinhao "
"PROJETO GRUPO DE ESTUDOS PARA JOGOS E DESAFIOS MATEMÁTICOS","Em breve este conteúdo estará disponível.","Glória Maria Paes Brito Miranda "
"BANDA-CORAL FEBF","Em breve este conteúdo estará disponível.","Guilherme Preato Guimarães "
"OS ""SEM SENTIMENTOS"": SUJEITOS EM MARGINALIZAÇÃO E A LINGUAGEM","Em breve este conteúdo estará disponível.","Gustavo Rebelo Coelho De Oliveira "
"AÇÃO AUTOMAÇÃO E FORMAÇÃO POLÍTICA","Em breve este conteúdo estará disponível.","Heitor Coelho Franca De Oliveira "
"MONITORIA EM PESQUISA E PRÁTICA PEDAGÓGICA - DEDI","Em breve este conteúdo estará disponível.","Helenice Mirabelli Cassino Ferreira "
"ALFABETIZAÇÃO NA PERSPECTIVA DISCURSIVA: O TRABALHO COM DIFERENTES LINGUAGENS...","Em breve este conteúdo estará disponível.","Heloisa Josiele Santos Carreiro "
"OFICINAS DE XADREZ NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL","Em breve este conteúdo estará disponível.","Heloisa Josiele Santos Carreiro "
"ACERVO DE PRÁTICAS PEDAGÓGICAS E METODOLOGIAS PARA A EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS","Em breve este conteúdo estará disponível.","Ilaina Damasceno Pereira "
"MANIFESTAÇÕES MUSICAIS DOS POVOS ORIGINÁRIOS DO BRASIL: INVESTIGAÇÃO E DISPONIBILIZAÇÃO","Em breve este conteúdo estará disponível.","Ilana Assbu Linhales Rangel "
"GÊNERO E SEXUALIDADES NA ESCOLA: POLÍTICAS PÚBLICAS EM EDUCAÇÃO E AS PRÁTICAS PEDAGÓGICAS DOCENTES","Em breve este conteúdo estará disponível.","Ivanildo Amaro De Araujo "
"GÊNERO E SEXUALIDADES NA ESCOLA: ENFRENTAMENTO À LGBTFOBIA E PROMOÇÃO DA CULTURA DE DIREITOS HUMANOS","Em breve este conteúdo estará disponível.","Ivanildo Amaro De Araujo "
"ESTUDOS SOBRE O CENÁRIO DA ALFABETIZAÇÃO DE CRIANÇAS IMIGRANTES NAS ESCOLAS PÚBLICAS DO ESTADO DO RJ","Em breve este conteúdo estará disponível.","Janaína Moreira Pacheco De Souza "
"CURRÍCULO DA/NA EDUCAÇÃO DE JOVENS E ADULTOS: INVESTIGAÇÃO SOBRE AS PROPOSTAS PARA A ALFABETIZAÇÃO","Em breve este conteúdo estará disponível.","Jaqueline Luzia Da Silva "
"ESTÁGIO DOCÊNCIA E ACOMPANHAMENTO ESTUDANTIL: VIVÊNCIAS CONVIVÊNCIAS E LETRAMENTOS NO ENSINO","Em breve este conteúdo estará disponível.","Jean Felipe De Assis "
"DESENVOLVIMENTO DE UM LABORATÓRIO DE ENSINO DE MATEMÁTICA: SUA PARCELA NA FORMAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","Jeanne Denise Bezerra De Barros "
"USO DAS TICS NA DISCIPLINA EDUCAÇÃO EM SAÚDE NOS CURSOS DE CIÊNCIAS BIOLÓGICAS E PEDAGOGIA EAD.","Em breve este conteúdo estará disponível.","Jemima Fuentes Ribeiro Da Silva "
"MONITORIA EM EDUCAÇÃO LINGUAGEM E CONHECIMENTO","Em breve este conteúdo estará disponível.","Jessica Coelho De Lima Pereira "
"CARREIRA DOCENTE NA EDUCAÇÃO BÁSICA: APORTES TEÓRICOS CONFLITOS E LUTAS.","Em breve este conteúdo estará disponível.","João Batista Silva Dos Santos "
"ESTUDO DE CASO SOBRE OS ELEMENTOS INDUTORES DE GESTÃO DEMOCRÁTICA NO ESPAÇO ESCOLAR","Em breve este conteúdo estará disponível.","João Batista Silva Dos Santos "
"A RELAÇÃO TRABALHO E EDUCAÇÃO NA PERSPECTIVA DA EMANCIPAÇÃO HUMANA E A FORMAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","José Carlos Lima De Souza "
"OFICINAS ONLINE DE ITALIANO PARA CRIANÇAS - LICOMZINHO","Em breve este conteúdo estará disponível.","Julia Scamparini Ferreira "
"PRÁTICAS PEDAGÓGICAS DE FOMENTO À ESCRITA NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL- PRÓ-ESCRITA","Em breve este conteúdo estará disponível.","Juliana De Moraes Prata "
"LABORATÓRIO DE RECURSOS PARA O ENSINO DE ESCRITA NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL","Em breve este conteúdo estará disponível.","Juliana De Moraes Prata "
"A GESTÃO DA EDUCAÇÃO E DA ESCOLA NA FORMAÇÃO DE PEDAGOGOS: CONSTRUINDO UMA PRÁXIS DEMOCRÁTICA","Em breve este conteúdo estará disponível.","Karine Vichiett Morgan "
"EMOCIONARTE: EDUCAÇÃO SOCIOEMOCIONAL EM INSTITUIÇÕES DE EDUCAÇÃO INFANTIL","Em breve este conteúdo estará disponível.","Karla Da Costa Seabra "
"NA LITERATURA INÚMERAS VIAGENS: O ESPAÇO DA LITERATURA NA FORMAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","Kellen Dias De Barros "
"DO LADO DE FORA DO MUNDO: A LITERATURA NA FORMAÇÃO DE PROFESSORES","Em breve este conteúdo estará disponível.","Kellen Dias De Barros "
"DOCÊNCIA E POESIA: A LITERATURA E O ENCANTO NA FORMAÇÃO DE PROFESSORES","Em breve este conteúdo estará disponível.","Kellen Dias De Barros "
"POÉTICAS DE ENCANTO: TRAZENDO A LITERATURA PARA A FORMAÇÃO DE PROFESSORES","Em breve este conteúdo estará disponível.","Kellen Dias De Barros "
"USO SUSTENTÁVEL DE VEÍCULOS AUTOMOTORES","Em breve este conteúdo estará disponível.","Leandro De Amorim Ratamero "
"MONITORIA DA DISCIPLINA TRABALHO E EDUCAÇÃO","Em breve este conteúdo estará disponível.","Leandro Sartori Gonçalves "
"A ATUAÇÃO DO EDUCADOR NA GESTÃO ESCOLAR: CONCEPÇÕES E PRÁTICAS DOS GESTORES EM DUQUE DE CAXIAS","Em breve este conteúdo estará disponível.","Leandro Sartori Gonçalves "
"CONTRIBUIÇÕES DA EDITORAÇÃO DE PERIÓDICO CIENTÍFICO EM EDUCAÇÃO PARA A FORMAÇÃO DO PEDAGOGO","Em breve este conteúdo estará disponível.","Leandro Sartori Gonçalves "
"IMPLEMENTAÇÃO DE PESQUISAS BASEADAS EM NTDICS EM ESCOLAS PÚBLICAS DA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Leandro Trindade Pinto "
